Row 55: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.24710166454315186
Row 56: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.06462666392326355
Row 57: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.1966666728258133
Row 58: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.20000000298023224
Row 59: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.2305833399295807
Row 60: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.18333333730697632
Row 61: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.21799999475479126
Row 62: Col 0: 0.0, Col 1: 2.0, Col 2: 0.5, Col 3: 0.0, Target: 0.036114998161792755
Row 63: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.6866666674613953
Row 64: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.07603000104427338
Row 65: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.10454333573579788
Row 66: Col 0: 0.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.08211333304643631
Row 67: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.31700000166893005
Row 68: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.17499999701976776
Row 69: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 0.0, Target: 0.15206167101860046
Row 70: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.10454333573579788
Row 71: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 0.0, Target: 0.07032833248376846
Row 72: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.13754667341709137
Row 73: Col 0: 3.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.25
Row 74: Col 0: 3.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.3916666805744171
Row 75: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.0886533334851265
Row 76: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.1666666716337204
Row 77: Col 0: 1.0, Col 1: 2.0, Col 2: 0.5, Col 3: 1.0, Target: 0.00901500042527914
Row 78: Col 0: 1.0, Col 1: 1.0, Col 2: 1.0, Col 3: 2.0, Target: 0.44999998807907104
Row 79: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.13333334028720856
Row 80: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.13199500739574432
Row 81: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.23333333432674408
Row 82: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.09039666503667831
Row 83: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.07880333065986633
Row 84: Col 0: 3.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.25611168146133423
Row 85: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.04746000096201897
Row 86: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 1.0, Target: 0.09850333631038666
Row 87: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.18333333730697632
Row 88: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.28333333134651184
Row 89: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.13333334028720856
Row 90: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.1477566659450531
Row 91: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.12805500626564026
Row 92: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.0326816663146019
Row 93: Col 0: 2.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.46000000834465027
