date,EBAY,NVDA,YHOO
2010-06-22 00:00:00,21.559999,11.56,15.09
2010-06-23 00:00:00,21.34,11.69,15.23
2010-06-24 00:00:00,20.859998,11.11,14.83
2010-06-25 00:00:00,20.949999,11.08,14.81
2010-06-28 00:00:00,20.709998,11.1,14.73
2010-06-29 00:00:00,19.689999,10.48,14.04
2010-06-30 00:00:00,19.61,10.21,13.84
2010-07-01 00:00:00,19.639999,10.38,14.09
2010-07-02 00:00:00,19.26,10.25,14.07
2010-07-06 00:00:00,19.349999,10.14,14.13
2010-07-07 00:00:00,19.81,10.63,14.4
2010-07-08 00:00:00,19.889999,10.31,14.6
2010-07-09 00:00:00,20.289999,10.35,14.89
2010-07-12 00:00:00,20.22,10.54,14.94
2010-07-13 00:00:00,21.009999,10.92,15.52
2010-07-14 00:00:00,21.109999,11.03,15.37
2010-07-15 00:00:00,21.03,10.72,15.37
2010-07-16 00:00:00,20.089999,10.05,14.9
2010-07-19 00:00:00,20.399999,10.46,15.1
2010-07-20 00:00:00,20.789999,10.72,15.2
2010-07-21 00:00:00,20.17,10.37,13.91
2010-07-22 00:00:00,20.939999,10.54,13.88
2010-07-23 00:00:00,21.089999,10.36,13.99
2010-07-26 00:00:00,21.139999,10.55,14.15
2010-07-27 00:00:00,21.039999,10.46,13.95
2010-07-28 00:00:00,21.039999,10.13,13.87
2010-07-29 00:00:00,20.77,9.13,13.76
2010-07-30 00:00:00,20.909998,9.19,13.88
2010-08-02 00:00:00,21.459999,9.18,14.0
2010-08-03 00:00:00,20.97,8.94,13.94
2010-08-04 00:00:00,21.099999,9.32,14.18
2010-08-05 00:00:00,21.07,9.44,14.16
2010-08-06 00:00:00,21.449999,9.55,14.34
2010-08-09 00:00:00,21.98,9.64,14.4
2010-08-10 00:00:00,21.909999,9.24,14.35
2010-08-11 00:00:00,21.249999,8.88,13.87
2010-08-12 00:00:00,21.59,8.96,13.85
2010-08-13 00:00:00,21.499999,9.39,13.83
2010-08-16 00:00:00,22.049999,9.15,13.79
2010-08-17 00:00:00,22.349999,9.27,13.94
2010-08-18 00:00:00,22.74,9.32,13.99
2010-08-19 00:00:00,23.129998,9.88,13.85
2010-08-20 00:00:00,23.369999,9.97,13.79
2010-08-23 00:00:00,23.269999,9.82,13.65
2010-08-24 00:00:00,22.869999,9.72,13.4
2010-08-25 00:00:00,23.159999,9.92,13.26
2010-08-26 00:00:00,22.73,9.8,13.21
2010-08-27 00:00:00,23.179998,10.12,13.43
2010-08-30 00:00:00,23.129998,9.64,13.18
2010-08-31 00:00:00,23.229998,9.33,13.11
2010-09-01 00:00:00,24.029998000000003,9.4,13.37
2010-09-02 00:00:00,24.059999,9.57,13.51
2010-09-03 00:00:00,24.129998,9.9,13.62
2010-09-07 00:00:00,23.529998000000003,9.99,13.53
2010-09-08 00:00:00,24.569999,10.32,13.75
2010-09-09 00:00:00,24.3,10.18,13.65
2010-09-10 00:00:00,24.1,10.07,13.68
2010-09-13 00:00:00,24.3,10.64,13.73
2010-09-14 00:00:00,24.25,10.54,13.63
2010-09-15 00:00:00,24.19,10.56,14.27
2010-09-16 00:00:00,23.9,10.57,14.19
2010-09-17 00:00:00,24.219999,10.55,13.89
2010-09-20 00:00:00,24.65,10.71,13.86
2010-09-21 00:00:00,24.739998,11.29,14.18
2010-09-22 00:00:00,24.34,11.39,14.04
2010-09-23 00:00:00,24.25,11.62,14.17
2010-09-24 00:00:00,24.739998,12.26,14.5
2010-09-27 00:00:00,24.769999,12.0,14.28
2010-09-28 00:00:00,24.869999,11.97,14.39
2010-09-29 00:00:00,24.989998,11.88,14.34
2010-09-30 00:00:00,24.4,11.68,14.17
2010-10-01 00:00:00,24.459999,11.35,14.27
2010-10-04 00:00:00,24.079998,11.24,14.28
2010-10-05 00:00:00,24.589998,11.32,14.61
2010-10-06 00:00:00,24.45,10.78,14.52
2010-10-07 00:00:00,24.75,10.7,14.23
2010-10-08 00:00:00,24.61,10.86,14.49
2010-10-11 00:00:00,24.29,10.81,14.41
2010-10-12 00:00:00,24.45,11.02,14.43
2010-10-13 00:00:00,24.869999,11.34,15.25
2010-10-14 00:00:00,25.279999,11.16,15.93
2010-10-15 00:00:00,25.679999,11.29,16.25
2010-10-18 00:00:00,25.719999,11.36,15.93
2010-10-19 00:00:00,25.529999,11.29,15.49
2010-10-20 00:00:00,25.66,11.29,15.8
2010-10-21 00:00:00,27.199998,11.09,15.97
2010-10-22 00:00:00,28.07,11.8,16.309998999999998
2010-10-25 00:00:00,27.93,11.91,16.4
2010-10-26 00:00:00,28.749999,11.87,16.459999
2010-10-27 00:00:00,29.28,12.04,16.42
2010-10-28 00:00:00,29.719998,12.05,16.4
2010-10-29 00:00:00,29.859999,12.02,16.49
2010-11-01 00:00:00,29.359999,12.04,16.15
2010-11-02 00:00:00,30.069998,12.29,16.190001000000002
2010-11-03 00:00:00,30.109999,12.38,16.17
2010-11-04 00:00:00,30.149999,12.4,16.200001
2010-11-05 00:00:00,30.869999,12.61,16.27
2010-11-08 00:00:00,30.84,12.66,16.440001000000002
2010-11-09 00:00:00,30.529998,12.59,16.969998999999998
2010-11-10 00:00:00,30.929998,12.74,16.940001000000002
2010-11-11 00:00:00,30.79,12.61,16.799999
2010-11-12 00:00:00,30.14,13.26,16.549999
2010-11-15 00:00:00,30.059999,13.1,16.6
2010-11-16 00:00:00,29.769998,12.71,16.24
2010-11-17 00:00:00,30.14,12.92,16.15
2010-11-18 00:00:00,30.569998,13.32,16.99
2010-11-19 00:00:00,30.299999,13.75,16.57
2010-11-22 00:00:00,30.64,13.76,16.559998999999998
2010-11-23 00:00:00,30.18,13.44,16.190001000000002
2010-11-24 00:00:00,31.209999,13.77,16.41
2010-11-26 00:00:00,31.149999,13.6,16.219998999999998
2010-11-29 00:00:00,30.23,13.75,16.379998999999998
2010-11-30 00:00:00,29.139999,13.61,15.82
2010-12-01 00:00:00,29.259999,14.21,16.15
2010-12-02 00:00:00,29.909999,14.38,16.33
2010-12-03 00:00:00,29.609999,14.79,16.35
2010-12-06 00:00:00,29.489999,14.51,16.33
2010-12-07 00:00:00,29.999999,14.98,16.940001000000002
2010-12-08 00:00:00,30.149999,15.11,17.02
2010-12-09 00:00:00,30.349999,14.86,16.950001
2010-12-10 00:00:00,30.69,14.95,17.01
2010-12-13 00:00:00,30.28,14.57,16.700001
2010-12-14 00:00:00,30.749999,14.59,16.629998999999998
2010-12-15 00:00:00,30.19,14.27,16.450001
2010-12-16 00:00:00,30.529998,14.29,16.51
2010-12-17 00:00:00,29.819998,14.37,16.379998999999998
2010-12-20 00:00:00,29.58,14.31,16.280001000000002
2010-12-21 00:00:00,28.649999,14.87,16.6
2010-12-22 00:00:00,28.57,15.03,16.629998999999998
2010-12-23 00:00:00,28.32,14.92,16.719998999999998
2010-12-27 00:00:00,28.309998,15.0,16.48
2010-12-28 00:00:00,28.349999,14.94,16.43
2010-12-29 00:00:00,28.359998,14.94,16.610001
2010-12-30 00:00:00,28.13,14.99,16.76
2010-12-31 00:00:00,27.829999,15.4,16.629998999999998
2011-01-03 00:00:00,28.68,nan,16.75
2011-01-04 00:00:00,28.47,nan,16.59
2011-01-05 00:00:00,28.73,nan,16.91
2011-01-06 00:00:00,28.42,nan,17.059998999999998
2011-01-07 00:00:00,27.699999,nan,16.9
2011-01-10 00:00:00,28.259998,nan,16.6
2011-01-11 00:00:00,28.359998,nan,16.58
2011-01-12 00:00:00,28.83,nan,16.65
2011-01-13 00:00:00,28.709998,nan,16.75
2011-01-14 00:00:00,29.18,nan,16.809998999999998
2011-01-18 00:00:00,29.449999,nan,16.5
2011-01-19 00:00:00,29.099999,nan,16.309998999999998
2011-01-20 00:00:00,30.779998,nan,16.23
2011-01-21 00:00:00,30.019998,nan,15.97
2011-01-24 00:00:00,30.509999,nan,16.09
2011-01-25 00:00:00,30.909999,nan,16.02
2011-01-26 00:00:00,31.059999,nan,15.57
2011-01-27 00:00:00,30.959999,nan,16.200001
2011-01-28 00:00:00,30.309999,nan,15.83
2011-01-31 00:00:00,30.359999,nan,16.120001000000002
2011-02-01 00:00:00,31.64,nan,16.379998999999998
