time,data_values
2010-08-13 00:00:00,249.099987
2010-08-16 00:00:00,247.640007
2010-08-17 00:00:00,251.970013
2010-08-18 00:00:00,253.070011
2010-08-19 00:00:00,249.880005
2010-08-20 00:00:00,249.639999
2010-08-23 00:00:00,245.799992
2010-08-24 00:00:00,239.930004
2010-08-25 00:00:00,242.889992
2010-08-26 00:00:00,240.27999900000003
2010-08-27 00:00:00,241.620003
2010-08-30 00:00:00,242.499996
2010-08-31 00:00:00,243.10001
2010-09-01 00:00:00,250.330002
2010-09-02 00:00:00,252.169991
2010-09-03 00:00:00,258.770008
2010-09-07 00:00:00,257.810013
2010-09-08 00:00:00,262.92001
2010-09-09 00:00:00,263.07
2010-09-10 00:00:00,263.410007
2010-09-13 00:00:00,267.039997
2010-09-14 00:00:00,268.059994
2010-09-15 00:00:00,270.21999
2010-09-16 00:00:00,276.569988
2010-09-17 00:00:00,275.36998700000004
2010-09-20 00:00:00,283.230007
2010-09-21 00:00:00,283.769993
2010-09-22 00:00:00,287.750004
2010-09-23 00:00:00,288.91999100000004
2010-09-24 00:00:00,292.319988
2010-09-27 00:00:00,291.159988
2010-09-28 00:00:00,286.859997
2010-09-29 00:00:00,287.369995
2010-09-30 00:00:00,283.749992
2010-10-01 00:00:00,282.52000400000003
2010-10-04 00:00:00,278.639996
2010-10-05 00:00:00,288.939991
2010-10-06 00:00:00,289.19001000000003
2010-10-07 00:00:00,289.21999700000003
2010-10-08 00:00:00,294.069988
2010-10-11 00:00:00,295.360004
2010-10-12 00:00:00,298.539997
2010-10-13 00:00:00,300.140007
2010-10-14 00:00:00,302.30999
2010-10-15 00:00:00,314.739994
2010-10-18 00:00:00,317.999989
2010-10-19 00:00:00,309.489994
2010-10-20 00:00:00,310.529991
2010-10-21 00:00:00,309.520008
2010-10-22 00:00:00,307.470001
2010-10-25 00:00:00,308.839993
2010-10-26 00:00:00,308.049988
2010-10-27 00:00:00,307.830009
2010-10-28 00:00:00,305.23999
2010-10-29 00:00:00,300.98
2010-11-01 00:00:00,304.179993
2010-11-02 00:00:00,309.360004
2010-11-03 00:00:00,312.800003
2010-11-04 00:00:00,318.270008
2010-11-05 00:00:00,317.130009
2010-11-08 00:00:00,318.620003
2010-11-09 00:00:00,316.079998
2010-11-10 00:00:00,318.030003
2010-11-11 00:00:00,316.649998
2010-11-12 00:00:00,308.029987
2010-11-15 00:00:00,307.040005
2010-11-16 00:00:00,301.59
2010-11-17 00:00:00,300.499989
2010-11-18 00:00:00,308.429996
2010-11-19 00:00:00,306.730011
2010-11-22 00:00:00,313.35998900000004
2010-11-23 00:00:00,308.73000299999995
2010-11-24 00:00:00,314.799995
2010-11-26 00:00:00,315.0
2010-11-29 00:00:00,316.870003
2010-11-30 00:00:00,311.150005
2010-12-01 00:00:00,316.400005
2010-12-02 00:00:00,318.150005
2010-12-03 00:00:00,317.440002
2010-12-06 00:00:00,320.149998
2010-12-07 00:00:00,318.210007
2010-12-08 00:00:00,321.009991
2010-12-09 00:00:00,319.760002
2010-12-10 00:00:00,320.559994
2010-12-13 00:00:00,321.670006
2010-12-14 00:00:00,320.290001
2010-12-15 00:00:00,320.35998900000004
2010-12-16 00:00:00,321.249996
2010-12-17 00:00:00,320.610008
2010-12-20 00:00:00,322.209991
2010-12-21 00:00:00,324.199997
2010-12-22 00:00:00,325.159992
2010-12-23 00:00:00,323.60001
2010-12-27 00:00:00,324.680008
2010-12-28 00:00:00,325.470013
2010-12-29 00:00:00,325.290009
2010-12-30 00:00:00,323.660011
2010-12-31 00:00:00,322.560013
2011-01-03 00:00:00,329.57
2011-01-04 00:00:00,331.290012
2011-01-05 00:00:00,334.000008
2011-01-06 00:00:00,333.729988
2011-01-07 00:00:00,336.120003
2011-01-10 00:00:00,342.450001
2011-01-11 00:00:00,341.639996
2011-01-12 00:00:00,344.420006
2011-01-13 00:00:00,345.680008
2011-01-14 00:00:00,348.479992
2011-01-18 00:00:00,340.650013
2011-01-19 00:00:00,338.840012
2011-01-20 00:00:00,332.680004
2011-01-21 00:00:00,326.720001
2011-01-24 00:00:00,337.449993
2011-01-25 00:00:00,341.39999
2011-01-26 00:00:00,343.850006
2011-01-27 00:00:00,343.209991
2011-01-28 00:00:00,336.100002
2011-01-31 00:00:00,339.319996
2011-02-01 00:00:00,345.030006
2011-02-02 00:00:00,344.320004
2011-02-03 00:00:00,343.44001000000003
2011-02-04 00:00:00,346.5
2011-02-07 00:00:00,351.87999
2011-02-08 00:00:00,355.200012
2011-02-09 00:00:00,358.16
2011-02-10 00:00:00,354.539997
2011-02-11 00:00:00,356.85001
2011-02-14 00:00:00,359.179996
2011-02-15 00:00:00,359.900013
2011-02-16 00:00:00,363.129993
2011-02-17 00:00:00,358.300003
2011-02-18 00:00:00,350.560013
2011-02-22 00:00:00,338.60999300000003
2011-02-23 00:00:00,342.619991
2011-02-24 00:00:00,342.879997
2011-02-25 00:00:00,348.160011
2011-02-28 00:00:00,353.210007
2011-03-01 00:00:00,349.309998
2011-03-02 00:00:00,352.119995
2011-03-03 00:00:00,359.560005
2011-03-04 00:00:00,359.999989
2011-03-07 00:00:00,355.35998900000004
2011-03-08 00:00:00,355.759998
2011-03-09 00:00:00,352.46999
2011-03-10 00:00:00,346.66999100000004
2011-03-11 00:00:00,351.990005
2011-03-14 00:00:00,353.560001
2011-03-15 00:00:00,345.42998900000003
2011-03-16 00:00:00,330.01001
2011-03-17 00:00:00,334.639996
2011-03-18 00:00:00,330.669998
2011-03-21 00:00:00,339.299995
2011-03-22 00:00:00,341.200012
2011-03-23 00:00:00,339.190006
2011-03-24 00:00:00,344.970005
2011-03-25 00:00:00,351.540009
2011-03-28 00:00:00,350.44001000000003
2011-03-29 00:00:00,350.959995
2011-03-30 00:00:00,348.630009
2011-03-31 00:00:00,348.51000600000003
2011-04-01 00:00:00,344.560009
2011-04-04 00:00:00,341.189999
2011-04-05 00:00:00,338.88999900000005
2011-04-06 00:00:00,338.03999300000004
2011-04-07 00:00:00,338.079994
2011-04-08 00:00:00,335.060005
2011-04-11 00:00:00,330.799988
2011-04-12 00:00:00,332.399998
2011-04-13 00:00:00,336.12999
2011-04-14 00:00:00,332.419998
2011-04-15 00:00:00,327.459991
2011-04-18 00:00:00,331.849998
2011-04-19 00:00:00,337.85998900000004
2011-04-20 00:00:00,342.41
2011-04-21 00:00:00,350.699989
2011-04-25 00:00:00,353.010002
2011-04-26 00:00:00,350.42001
2011-04-27 00:00:00,350.14999
2011-04-28 00:00:00,346.749992
2011-04-29 00:00:00,350.12999
2011-05-02 00:00:00,346.27999500000004
