CountryCode,CityName,Pop2017,Latitude,Longitude
AM,Aknalich,2654,40.1431,44.1483
AM,Aknashen,1362,40.0958,44.2861
AM,Alaverdi,13186,41.1306,44.6519
AM,Amasia,1675,40.9467,43.7814
AM,Amberd,1267,40.2417,44.2728
AM,Anushavan,1532,40.6419,43.9822
AM,Apaga,1634,40.0961,44.2511
AM,Aparan,5670,40.5961,44.3536
AM,Aragats,2952,40.3331,43.6581
AM,Aragyukh,999,40.4025,44.5436
AM,Aramus,3214,40.2511,44.6631
AM,Arapi,1738,40.7797,43.8006
AM,Ararat,6554,39.8094,44.7144
AM,Arazap,1373,40.0428,44.1458
AM,Archis,1235,41.1642,44.8725
AM,Areni,1718,39.7208,45.1839
AM,Arevabuyr,1041,40.0361,44.4689
AM,Arevashat,1403,40.1417,44.3708
AM,Arevashogh,2435,40.8614,44.2728
AM,Arevik,2455,40.1006,44.0969
AM,Arevshat,2089,40.0392,44.5417
AM,Argavand,1703,40.1581,44.44
AM,Argel,2528,40.3794,44.5994
AM,Armash,2434,39.7667,44.8083
AM,Armavir,2752,40.0897,44.0483
AM,Arshaluys,3808,40.1689,44.2142
AM,Artashat,20562,39.9539,44.5506
AM,Arteni,3086,40.2983,43.7542
AM,Artimet,1501,40.1514,44.2664
AM,Artsvaberd,3193,40.8336,45.4711
AM,Artsvanist,2819,40.1544,45.5022
AM,Arzakan,2660,40.4494,44.6064
AM,Arzni,2244,40.2964,44.5958
AM,Ashnak,1131,40.3275,43.9167
AM,Ashtarak,18779,40.3017,44.3592
AM,Astghadzor,3520,40.1239,45.3567
AM,Avshar,4215,39.8406,44.6836
AM,Aygavan,3758,39.8647,44.6703
AM,Aygedzor,2535,39.4628,46.4153
AM,Aygehovit,2888,40.9744,45.2519
AM,Aygek,1095,40.1886,44.3833
AM,Aygepat,1349,39.95,44.6
AM,Aygeshat,1358,40.2356,44.2867
AM,Aygestan,2431,40.0031,44.5575
AM,Aygezard,3192,39.9458,44.6089
AM,Aygut,997,40.6842,45.1731
AM,Ayrum,2174,41.195,44.8925
AM,Azatamut,1850,40.9758,45.1981
AM,Azatan,4448,40.7239,43.8206
AM,Azatavan,2886,39.9833,44.5
AM,Baghramyan,1690,40.1908,43.8494
AM,Bagratashen,3024,41.2458,44.8211
AM,Balahovit,2982,40.2536,44.6039
AM,Bambakashat,3089,40.1144,44.0122
AM,Bardzrashen,1273,40.0853,44.5786
AM,Bazum,1114,40.8681,44.4456
AM,Berd,8374,40.8808,45.3917
AM,Berdavan,3150,41.2028,45.0033
AM,Brnakot,1912,39.4969,45.9731
AM,Brun,1028,39.5339,46.3031
AM,Buzhakan,1678,40.4553,44.5206
AM,Byurakan,3902,40.3414,44.2736
AM,Byuravan,1228,40.0161,44.5186
AM,Byureghavan,6972,40.3147,44.5936
AM,Chambarak,6153,40.5953,45.3475
AM,Chochkan,1740,41.1861,44.8314
AM,Dalar,2504,39.9669,44.5364
AM,Dalarik,3080,40.2183,43.8603
AM,Darakert,2325,40.1058,44.4139
AM,Darpas,1785,40.8381,44.4233
AM,Dashtavan,1762,40.1017,44.3906
AM,Ddmashen,2157,40.5719,44.8122
AM,Dilijan,13480,40.7408,44.8631
AM,Dimitrov,1212,40.0081,44.4881
AM,Doghs,1186,40.2228,44.2717
AM,Drakhtik,1016,40.5689,45.2319
AM,Dsegh,2484,40.9633,44.6517
AM,Dvin,2795,40.02,44.5853
AM,Dzitankov,1162,40.5156,43.8133
AM,Dzoraghbyur,2011,40.205,44.6431
AM,Dzoragyukh,3570,40.1753,45.175
AM,Fantan,1019,40.3942,44.685
AM,Fioletovo,1264,40.7247,44.7139
AM,Gagarin,1305,40.5369,44.8578
AM,Gandzak,3841,40.3147,45.1114
AM,Garni,6827,40.1194,44.7231
AM,Gavar,21681,40.3589,45.1267
AM,Gay,3309,40.0839,44.3056
AM,Geghamasar,1060,40.3117,45.68
AM,Geghamavan,1597,40.5619,44.8828
AM,Geghanist,2409,40.1497,44.4344
AM,Getahovit,2005,40.8958,45.1314
AM,Getashen,2114,40.0433,43.9447
AM,Getazat,1947,40.0381,44.5639
AM,Ghukasavan,2113,40.1261,44.4178
AM,Gladzor,2080,39.7783,45.3478
AM,Gogaran,1088,40.8956,44.1992
AM,Goris,20379,39.5078,46.3386
AM,Gosh,994,40.7225,45.0033
AM,Griboyedov,1879,40.1131,44.2717
AM,Gyulagarak,2109,40.9697,44.4714
AM,Gyumri,148383,40.7894,43.8475
AM,Haghartsin,3370,40.7781,44.9625
AM,Hayanist,2031,40.1197,44.3775
AM,Haykashen,1140,40.0728,44.3069
AM,Haykavan,1201,40.7558,43.77
AM,Hnaberd,1817,40.6428,44.1444
AM,Hoktember,5348,40.1361,44.0139
AM,Horom,1893,40.6542,43.8822
AM,Hovtashat,3472,40.1019,44.3428
AM,Hovtashen,1134,40.0244,44.45
AM,Hrazdan,40796,40.5017,44.7547
AM,Ijevan,14737,40.8756,45.1492
AM,Janfida,2986,40.0456,44.0208
AM,Jermuk,4582,39.8417,45.6722
AM,Jrahovit,1032,40.0453,44.4736
AM,Jrashen,3078,40.7875,44.1972
AM,Kamaris,2064,40.2358,44.6939
AM,Kamo,1340,40.8281,43.9483
AM,Kanakeravan,2950,40.2472,44.5367
AM,Kapan,33161,39.2011,46.415
AM,Kaputan,1252,40.3244,44.6939
AM,Karbi,3521,40.3339,44.3778
AM,Karchaghbyur,2274,40.1639,45.5722
AM,Kasakh,4247,40.5333,44.4167
AM,Khashtarak,1728,40.9386,45.1797
AM,Khndzoresk,1940,39.5122,46.4336
AM,Kosh,2581,40.3072,44.16
AM,Lanjaghbyur,2097,40.2731,45.1444
AM,Lchashen,4182,40.5203,44.9308
AM,Lenughi,1499,40.1239,43.9653
AM,Lernakert,1306,40.5669,43.9361
AM,Lernanist,2511,40.4675,44.7981
AM,Lernantsk,1192,40.7956,44.2783
AM,Lernapat,1710,40.82,44.3972
AM,Lernavan,1517,40.7883,44.1844
AM,Lorut,1101,40.9389,44.7725
AM,Lukashin,2197,40.1758,44.0186
AM,Madina,1024,40.0803,45.2511
AM,Maisyan,1521,40.8531,43.8294
AM,Malishka,4174,39.7369,45.3875
AM,Maralik,4959,40.5722,43.8669
AM,Margahovit,3308,40.7381,44.6875
AM,Margara,1360,40.0336,44.1739
AM,Marmarashen,2946,40.0575,44.4711
AM,Marmashen,1644,40.8375,43.7719
AM,Martuni,11037,40.1447,45.3064
AM,Masis,18911,40.0139,44.4858
AM,Mayakovski,1727,40.2522,44.6383
AM,Meghradzor,2659,40.6147,44.6522
AM,Meghrashen,1107,40.6758,43.9486
AM,Meghri,4540,38.9022,46.2383
AM,Merdzavan,2702,40.1817,44.3992
AM,Mets Masrik,2570,40.2186,45.7694
AM,Mets Parni,1934,40.8372,44.1092
AM,Metsamor,8789,40.0714,44.2892
AM,Metsavan,4767,41.2017,44.2289
AM,Mosesgegh,1964,40.9064,45.4914
AM,Mrganush,1032,40.0286,44.5586
AM,Mrgashat,4961,40.1297,44.0706
AM,Mrgashen,1623,40.285,44.5422
AM,Mrgavan,1713,39.9661,44.5333
AM,Mrgavet,2131,40.0283,44.4828
AM,Musaler,2323,40.1544,44.3778
AM,Musayelyan,1499,40.7653,43.9908
AM,Myasnikyan,3458,40.1775,43.9064
AM,Nalbandyan,4019,40.0678,43.9856
AM,Navur,1227,40.8614,45.3175
AM,Nizami,1060,40.0914,44.4042
AM,Nor Armavir,1597,40.0867,43.99
AM,Nor Geghi,4896,40.3211,44.5797
AM,Nor Gyukh,1462,40.2667,44.6564
AM,Nor Yerznka,1459,40.3133,44.4047
AM,Norakert,2485,40.1922,44.3467
AM,Noramarg,1811,40.0236,44.4244
AM,Norashen,3049,40.0042,44.5947
AM,Noratus,5426,40.3822,45.1783
AM,Noyakert,1751,39.8167,44.6669
AM,Noyemberyan,5119,41.1725,44.9936
AM,Nshavan,1916,40.0264,44.5253
AM,Odzun,4524,41.0539,44.6114
AM,Oshakan,4768,40.2706,44.2692
AM,Paravakar,1637,40.9806,45.3992
AM,Pemzashen,2436,40.5933,43.94
AM,Pokr Mantash,1838,40.65,44.05
AM,Proshyan,4333,40.2481,44.415
AM,Pshatavan,2159,40.0406,44.0675
AM,Ptghni,1231,40.2567,44.585
AM,Ranchpar,989,40.0253,44.3703
AM,Rind,1368,39.7597,45.18
AM,Samaghar,2343,40.1853,44.2422
AM,Saramech,1111,40.7725,44.2192
AM,Saratak,1115,40.67,43.8664
AM,Sarigyukh,1096,41.0564,45.1458
AM,Sarukhan,6173,40.2892,45.1342
AM,Sasunik,1959,40.2472,44.3381
AM,Sevan,17083,40.555,44.9536
AM,Shaghat,1011,39.5617,45.9122
AM,Shahumyan,3905,39.9308,44.5783
AM,Shatin,1671,39.8333,45.3017
AM,Shenavan,1587,40.4861,44.3825
AM,Shinuhayr,2206,39.4342,46.3156
AM,Shirak,1007,40.8481,43.9214
AM,Shirakamut,2008,40.8606,44.1528
AM,Shnogh,2872,41.1478,44.8378
AM,Sis,1135,40.0586,44.3864
AM,Sisavan,1793,39.9,44.6667
AM,Sisian,15208,39.4628,45.9731
AM,Solak,2295,40.4636,44.7086
AM,Sovetakan,1613,40.1133,44.0553
AM,Spandaryan,1226,40.665,44.0189
AM,Spitak,15063,40.7956,44.2783
AM,Surenavan,2241,39.75,44.8
AM,Talin,4945,40.3369,43.8589
AM,Tandzut,1816,40.0772,44.0886
AM,Taronik,1874,40.1331,44.1992
AM,Tashir,7318,41.1244,44.2819
AM,Tazagyukh,2248,40.1417,45.1914
AM,Tegh,2120,39.5547,46.4758
AM,Tsaghkaber,1207,40.7986,44.1072
AM,Tsaghkadzor,1408,40.5386,44.7114
AM,Tsaghkahovit,1551,40.6361,44.2231
AM,Tsiatsan,1050,40.1869,44.2667
AM,Tsovagyugh,3857,40.6331,44.9522
AM,Tsovak,2531,40.1819,45.635
AM,Tsovazard,1949,40.4769,45.0375
AM,Tsovinar,3968,40.1608,45.4539
AM,Tumanyan,1693,40.9633,44.6517
AM,Urut,1102,41.0711,44.3969
AM,Ushi,1276,40.3536,44.3686
AM,Vagharshapat,49514,40.1728,44.2925
AM,Vaghashen,3235,40.1378,45.3292
AM,Vahagni,1184,40.9081,44.6069
AM,Vahan,1153,40.57,45.3956
AM,Vanadzor,101099,40.8128,44.4883
AM,Vardablur,1297,40.95,44.4667
AM,Vardadzor,2095,40.1917,45.1875
AM,Vardenik,7709,40.135,45.4364
AM,Vardenis,11382,40.1806,45.7283
AM,Varser,1614,40.5561,44.9111
AM,Vedi,12192,39.9106,44.7278
AM,Verin Artashat,3931,40.0006,44.585
AM,Verin Dvin,1853,40.0253,44.5908
AM,Verin Getashen,4173,40.1328,45.2486
AM,Verishen,2114,39.5358,46.3119
AM,Vernashen,1162,39.7939,45.3633
AM,Voskehask,1803,40.7383,43.7758
AM,Voskehat,2181,40.1414,44.3292
AM,Voskevan,1287,41.1192,45.0653
