acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.0253,['Yung Pinch'],0.794,226154.0,3.769233333333333,0.524,1.0,5nZ8MXHhFWzf7dDTuLG1ls,0.00613,4.0,0.11,-7.625,1.0,Look Like,56.0,2016-10-10,0.115,130.122,0.604,2016.0
0.00243,['5 Seconds of Summer'],0.5479999999999999,205915.0,3.4319166666666665,0.938,0.0,691NxyycrqSWH5vZ19Jzm2,0.0,8.0,0.353,-4.073,1.0,Permanent Vacation,55.0,2015-10-23,0.0535,155.03799999999995,0.7440000000000001,2015.0
0.163,['Alan Jackson'],0.705,228733.0,3.8122166666666666,0.669,0.0,26iYJEimPCE0ozDlpj0UFN,3.41e-06,9.0,0.0966,-5.974,1.0,Livin' On Love,62.0,2010-11-19,0.0262,118.539,0.6729999999999999,2010.0
0.00393,['Sabaton'],0.353,355653.0,5.92755,0.742,0.0,0mK6UUHnQi0Jhu0IB319LO,0.0,6.0,0.0846,-7.3889999999999985,0.0,Wolfpack,53.0,2010-09-24,0.0393,79.033,0.166,2010.0
0.6920000000000001,['Mandolin Orange'],0.648,329893.0,5.498216666666666,0.35200000000000004,0.0,6VfY0sgS4j4JpFQH8kk4XA,0.266,4.0,0.106,-10.11,1.0,Wildfire,61.0,2016-09-30,0.0278,121.459,0.173,2016.0
0.939,['John Williams'],0.327,207520.0,3.458666666666667,0.104,0.0,0HyTGa3AIPNMKevxgUDA1V,0.912,1.0,0.0977,-19.801,1.0,Dobby the House Elf,42.0,2002-11-11,0.0371,97.279,0.119,2002.0
0.255,['Doja Cat'],0.805,237893.0,3.9648833333333333,0.672,0.0,0FsKQ04gn6CHHOq2ISEm0H,1.02e-05,11.0,0.0906,-4.614,0.0,Say So,65.0,2019-11-07,0.122,111.024,0.7909999999999999,2019.0
0.00295,['Sugarcult'],0.477,141293.0,2.3548833333333334,0.917,0.0,1rUHLQEmtefobuukC1SVDf,0.0,6.0,0.268,-4.692,1.0,Bouncing Off The Walls,54.0,2002,0.0547,150.974,0.71,2002.0
0.866,['Billy Preston' 'Syreeta Wright'],0.348,220600.0,3.6766666666666667,0.313,0.0,7wlPnBfcywEctiVWwCdxvn,0.000257,10.0,0.13,-11.379,1.0,With You I'm Born Again,43.0,2000-01-01,0.0324,82.00399999999998,0.35600000000000004,2000.0
0.0471,['Queens of the Stone Age'],0.365,253493.0,4.2248833333333335,0.8740000000000001,0.0,1D6eNTsC5ixYBTzBxBx0gL,0.000123,8.0,0.35100000000000003,-4.428,1.0,Tangled Up In Plaid,40.0,2005-01-01,0.0902,128.249,0.606,2005.0
