acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.958,['Deuter'],0.198,572147.0,9.535783333333335,0.0192,0.0,4O20FRyWVCr4t6bl3Xxvsj,0.941,7.0,0.0647,-27.44400000000001,0.0,Sound of Invisible Waters,53.0,2007-02-13,0.0356,104.989,0.0365,2007.0
0.961,['Bedtime Baby'],0.353,107338.0,1.7889666666666666,0.217,0.0,3W7xIbNEaW8G671ab3wis0,0.951,2.0,0.112,-18.498,1.0,Canon In D,51.0,2009-12-01,0.0469,103.238,0.154,2009.0
0.974,['The Antlers'],0.324,311240.0,5.187333333333333,0.163,0.0,453spNn4mGdYErYt3rGhSX,0.8440000000000001,9.0,0.0892,-13.909,0.0,Kettering,53.0,2009-06-23,0.0416,139.814,0.0852,2009.0
0.982,['Rockabye Baby!'],0.447,274280.0,4.571333333333333,0.0299,0.0,2OWOkkAQv7KFlScZymrfZ4,0.841,0.0,0.0736,-25.007,0.0,Bohemian Rhapsody,50.0,2009-05-19,0.0367,70.893,0.18600000000000005,2009.0
0.952,['Scripture Lullabies'],0.171,251053.0,4.184216666666667,0.115,0.0,3bOrCXvrwO6CFOVXUUFDCG,0.0008810000000000002,10.0,0.115,-15.338,1.0,Be Still and Know,47.0,2009-11-21,0.0328,70.935,0.134,2009.0
0.979,['Nicholas Hooper'],0.483,158187.0,2.6364500000000004,0.0589,0.0,2eajPmnVrhSsGy1DTqW5wg,0.956,4.0,0.0375,-28.255,0.0,When Ginny Kissed Harry,54.0,2009-07-14,0.0394,84.038,0.0783,2009.0
0.996,['Johann Sebastian Bach' 'Lang Lang'],0.5,327080.0,5.451333333333333,0.0104,0.0,4ksxLnn1ymLGRKnwhba45Y,0.949,2.0,0.0573,-26.764,1.0,Orchestral Suite No. 3 in D Major BWV 1068: II. Air "On a G String" (Arr. for Piano),58.0,2010-11-29,0.0622,114.76,0.133,2010.0
0.995,['Edward Newton'],0.399,135253.0,2.2542166666666663,0.00402,0.0,6EZMZ5LIMiZZeSFcxU97xT,0.955,1.0,0.103,-37.809,1.0,I'm in the Mood for Love: I'm in the Mood for Love,53.0,2010-11-23,0.0404,67.194,0.149,2010.0
0.965,['Iron & Wine'],0.245,267120.0,4.452,0.242,0.0,6iw32k0OUKHildYsQTRnVB,0.008329999999999999,4.0,0.271,-12.963,1.0,Flightless Bird American Mouth - Wedding Version,46.0,2011-11-04,0.0318,135.714,0.138,2011.0
0.979,['Miracle Musical'],0.339,101007.0,1.6834500000000001,0.23,0.0,7qLs0IyUn6TrqgMzQ33SdH,0.000951,0.0,0.353,-10.803,1.0,Introduction to the Snow,51.0,2012,0.0317,66.352,0.113,2012.0
