45,Omid,Aschari,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsident und Gründer,ASG Strategy Group AG,"Consulting, public relations, legal & trust"
46,David,Atienza Alonso,ETH Lausanne,EPF,Lausanne,Consultancy on embedded systems uses for swallowing and chewing monitoring,Nestec SA,"Industry, construction & agriculture"
47,Jean-Jacques,Aubert,Uni Neuenburg,UNE,Neuchâtel,Député,Grand Conseil NE,"Politics, administration, justice system & security sector"
48,Jean-Jacques,Aubert,Uni Neuenburg,UNE,Neuchâtel,Vice-président,Académie suisse des sciences humaines et sociales,"Society, Social, Culture & Sports"
49,Drahomir,Aujesky,Uni Bern,UBE,Bern,NA,Schweizerische Gesellschaft für allgemeine innere Medizin,Pharma & health
50,Johan,Auwerx,ETH Lausanne,EPF,Lausanne,Biomedical consulting - Founder and BOD (Director - approved by EPFL),"Reamol Biomedical Consultung, Buchillon, CH","Consulting, public relations, legal & trust"
51,Johan,Auwerx,ETH Lausanne,EPF,Lausanne,Mitochondrial metabolism and deseases - Founder & SAB member,"Mitobridge, Cambridge, MA, USA",Technology
52,Johan,Auwerx,ETH Lausanne,EPF,Lausanne,NAD metabolism - SAB member,"Metro Mid-Atalantic Biotech, Birmingham, MI, USA",Technology
53,Johan,Auwerx,ETH Lausanne,EPF,Lausanne,Nutraceuticals - SAB member,"Amazentis, Ecublens, Switzerland",Technology
54,Johan,Auwerx,ETH Lausanne,EPF,Lausanne,Nutrition & Phytochemistry - Founder & Consultant,"PhytoDia, Illkirch, France",Pharma & health
55,François,Avellan,ETH Lausanne,EPF,Lausanne,Associé minoritaire dans la start-up d'un ancien doctorant,"Power Vision Engineering Sàrl, Ecublens","Industry, construction & agriculture"
56,François,Avellan,ETH Lausanne,EPF,Lausanne,"Expertise du rendement des turbines de la centrale de La Higuera, Chili, dans le cadre d'une procédure juridique","Barros, Letelier & Gonzalez Attorneys at Law, Chile","Consulting, public relations, legal & trust"
57,Kay Werner,Axhausen,ETH Zürich,ETH,Zurich,VR-Mandat der Spin-Off-Firma,Senozon (Schweiz) AG,"Consulting, public relations, legal & trust"
58,Philippe,Bacchetta,Uni Lausanne,ULA,Lausanne,NA,Activités académiques,Education & research
59,Andrea,Back,Uni St. Gallen,USG,Saint Gallen,Beirätin,Crosswalk AG,"Consulting, public relations, legal & trust"
60,Andrea,Back,Uni St. Gallen,USG,Saint Gallen,"Beirätin, Beratung",CID GmbH,Technology
61,Andrea,Back,Uni St. Gallen,USG,Saint Gallen,Gutachterin,"Marie Heim-Vögtlin-Programm des Schweizerischen Nationalfonds, Abteilung Geistes- und Sozialwissenschaften",Education & research
62,Andrea,Back,Uni St. Gallen,USG,Saint Gallen,Wissenschaftliche Beirätin,Leibniz-Informationszentrum Wirtschaft,Education & research
63,Marco,Bakker,ETH Lausanne,EPF,Lausanne,"CEO, Architect","Bakker & Blanc Architectes Lausanne, Zurich","Industry, construction & agriculture"
64,Artur,Baldauf,Uni Bern,UBE,Bern,NA,International School of Bern,Education & research
65,Artur,Baldauf,Uni Bern,UBE,Bern,NA,Securitas AG,"Politics, administration, justice system & security sector"
66,Christophe,Ballif,ETH Lausanne,EPF,Lausanne,"Chef de division CSEM PV-center, officiellement depuis 1.10.2012","CSEM, Neuchâtel",Education & research
67,Christophe,Ballif,ETH Lausanne,EPF,Lausanne,Consultant technologique et membre du conseil d'administration,"Asgalium Unitec SA, Cortaillod","Industry, construction & agriculture"
68,Christophe,Ballif,ETH Lausanne,EPF,Lausanne,Membre comité de conseil Active Niche Funds (fonds dédié au Solaire),"ANF SA, Lausanne",Financial industry & insurances
69,Christophe,Ballif,ETH Lausanne,EPF,Lausanne,"Panel, clean energy research program, Singapour","Economic development Board (EDB), Raffles Tower, Singapour","Commerce, trade & services"
70,Yann,Barrandon,Uni Lausanne,ULA,Lausanne,Conseil d'administration,"gyMetrics SA, Ecublens",Technology
71,Yann,Barrandon,Uni Lausanne,ULA,Lausanne,Consultant,"A*Star IMB Biopolis, Singapour",Education & research
72,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Co-Editor,Advances in Water Resources (Elsevier Journal),Media & communication
73,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Fellowships Committee,"Royal Society of Edinburgh, UK",Education & research
74,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Member and expert to the Sinergia section,Swiss National Science Foundation - Sinergia,Education & research
75,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Member of the SNF Council,Swiss National Science Foundation,Education & research
76,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Visiting Professor,"University of Edinburgh, UK",Education & research
77,Pius Eliseo,Baschera,ETH Zürich,ETH,Zurich,VP des Beirates,ARDEX GmbH,"Industry, construction & agriculture"
78,Pius Eliseo,Baschera,ETH Zürich,ETH,Zurich,VP des Beirates,Vorwerk & Co. KG,"Commerce, trade & services"
79,Pius Eliseo,Baschera,ETH Zürich,ETH,Zurich,VR-Mandat,Roche Holding AG,Pharma & health
80,Pius Eliseo,Baschera,ETH Zürich,ETH,Zurich,VR-Mandat,Schindler Holding AG,"Industry, construction & agriculture"
81,Pius Eliseo,Baschera,ETH Zürich,ETH,Zurich,VR-Präsidium,Hilti AG,"Industry, construction & agriculture"
82,Pius Eliseo,Baschera,ETH Zürich,ETH,Zurich,VR-Präsidium,Venture Incubator AG,Financial industry & insurances
83,David Alan,Basin,ETH Zürich,ETH,Zurich,Vorsitzender der Geschäftsführung,Contego Laboratories GmbH,Technology
84,Claudio,Bassetti,Uni Bern,UBE,Bern,NA,Fondazione Eccles,Education & research
85,Claudio,Bassetti,Uni Bern,UBE,Bern,NA,Fondazione Neuroscienze Ticino,Education & research
86,Claudio,Bassetti,Uni Bern,UBE,Bern,NA,SITEM,Pharma & health
87,Iris,Baumgartner,Uni Bern,UBE,Bern,NA,Spital Thun AG,Pharma & health
88,Iris,Baumgartner,Uni Bern,UBE,Bern,NA,Unitectra,"Consulting, public relations, legal & trust"
89,Aurelio,Bay,ETH Lausanne,EPF,Lausanne,Présidence du Jury des examens du GYB,"GYB Gymnase Intercantonal de la Broye, Payerne",Education & research
90,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Editrice en chef de la revue Commentarii Mathematici Helvetici,Société Mathématique Suisse,Education & research
91,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre,Stiftung zur Förderung der mathematischen Wissenschaften in der Schweiz,Education & research
92,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre du comité éditorial,Archiv der Mathematik,Media & communication
93,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre du comité éditorial,International Journal of Number Theory,Media & communication
94,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre du comité éditorial,Journal of Algebra,Media & communication
95,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre du conseil de la recherche Division II,"FNS, Berne",Education & research
96,Stefan,Bechtold,ETH Zürich,ETH,Zurich,NA,Fondation Professeur Walther Hug,Education & research
97,Rolf,Becker,Uni Bern,UBE,Bern,NA,GESIS Leibniz Institut,Education & research
98,Christian,Belz,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,Création Baumann,"Industry, construction & agriculture"
99,Christian,Belz,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,Olma Messen St. Gallen,"Industry, construction & agriculture"
100,Christian,Belz,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,Starrag,"Industry, construction & agriculture"
101,André,Berchtold,Uni Lausanne,ULA,Lausanne,NA,Activités académiques,Education & research
102,Pietro,Beritelli,USI Lugano,USI,Lugano,Verwaltungsratspräsident,Heidiland Tourismus AG,"Commerce, trade & services"
103,Pietro,Beritelli,USI Lugano,USI,Lugano,Verwaltungsratspräsident,Tourismus Services Ostschweiz AG,"Commerce, trade & services"
104,Thomas,Berndt,Uni St. Gallen,USG,Saint Gallen,Mitglied im Fachbeirat,Zeitschrift für Corporate Governance (ZCG),Media & communication
105,Thomas,Berndt,Uni St. Gallen,USG,Saint Gallen,Ständiger Mitarbeiter,Zeitschrift Betriebs-Berater (BB),Media & communication
106,Thomas,Berndt,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsident,"equia AG, Zürich","Consulting, public relations, legal & trust"
107,Urs,Bertschinger,Uni St. Gallen,USG,Saint Gallen,Partner,Prager Dreifuss AG,"Consulting, public relations, legal & trust"
